period_id,weight,hour_period
6,530.0141,2025-07-12 21:59:55.905269+00:00
6,528.8099,2025-07-12 22:00:03.210247+00:00
6,523.5502,2025-07-12 22:00:10.508892+00:00
6,526.8754,2025-07-12 22:00:17.816464+00:00
6,527.1367,2025-07-12 22:00:25.122188+00:00
6,537.5906,2025-07-12 22:00:32.420219+00:00
6,563.6113,2025-07-12 22:00:39.720884+00:00
6,564.7313,2025-07-12 22:00:47.016972+00:00
6,566.932,2025-07-12 22:00:54.324734+00:00
6,567.6864,2025-07-12 22:01:01.638163+00:00
6,563.3441,2025-07-12 22:01:08.948507+00:00
6,563.8406,2025-07-12 22:01:16.252924+00:00
6,563.3445,2025-07-12 22:01:23.558055+00:00
6,570.1509,2025-07-12 22:01:30.863441+00:00
6,572.1183,2025-07-12 22:01:38.164679+00:00
6,573.4564,2025-07-12 22:01:45.464599+00:00
6,328.7143,2025-07-12 22:01:52.782710+00:00
6,545.449,2025-07-12 22:02:00.095313+00:00
6,545.4692,2025-07-12 22:02:07.411894+00:00
6,543.8236,2025-07-12 22:02:14.712025+00:00
6,540.2578,2025-07-12 22:02:22.012040+00:00
6,738.4927,2025-07-12 22:02:29.315311+00:00
6,738.8352,2025-07-12 22:02:36.612056+00:00
6,740.034,2025-07-12 22:02:43.922080+00:00
6,739.064,2025-07-12 22:02:51.224124+00:00
6,741.0315,2025-07-12 22:02:58.619309+00:00
6,738.8145,2025-07-12 22:03:05.925944+00:00
6,733.7429,2025-07-12 22:03:13.236223+00:00
6,732.4978,2025-07-12 22:03:20.543595+00:00
6,731.8837,2025-07-12 22:03:27.849556+00:00
6,729.9379,2025-07-12 22:03:35.154475+00:00
6,801.5883,2025-07-12 22:03:42.455310+00:00
6,730.9004,2025-07-12 22:03:49.764442+00:00
6,732.7508,2025-07-12 22:03:57.066155+00:00
6,735.0032,2025-07-12 22:04:04.380252+00:00
6,778.5272,2025-07-12 22:04:11.696795+00:00
6,453.3338,2025-07-12 22:04:19.092040+00:00
6,782.4035,2025-07-12 22:04:26.412555+00:00
6,874.8145,2025-07-12 22:04:33.717583+00:00
6,872.1753,2025-07-12 22:04:41.027013+00:00
6,872.3682,2025-07-12 22:04:48.313316+00:00
6,876.2864,2025-07-12 22:04:55.625388+00:00
6,877.0383,2025-07-12 22:05:02.918764+00:00
6,878.5885,2025-07-12 22:05:10.210814+00:00
6,882.1833,2025-07-12 22:05:17.520577+00:00
6,880.4344,2025-07-12 22:05:24.834586+00:00
6,881.7709,2025-07-12 22:05:32.142298+00:00
6,883.7438,2025-07-12 22:05:39.461203+00:00
6,880.0077,2025-07-12 22:05:46.764402+00:00
6,881.3182,2025-07-12 22:05:54.065417+00:00
6,879.8365,2025-07-12 22:06:01.372088+00:00
6,882.1366,2025-07-12 22:06:08.678629+00:00
6,879.7976,2025-07-12 22:06:15.986957+00:00
6,881.3531,2025-07-12 22:06:23.289739+00:00
6,880.7277,2025-07-12 22:06:30.600233+00:00
6,881.4019,2025-07-12 22:06:37.913275+00:00
6,878.6249,2025-07-12 22:06:45.214188+00:00
6,878.4335,2025-07-12 22:06:52.530841+00:00
6,877.0713,2025-07-12 22:06:59.939409+00:00
6,878.5166,2025-07-12 22:07:07.233485+00:00
6,875.7977,2025-07-12 22:07:14.535972+00:00
6,873.817,2025-07-12 22:07:21.845036+00:00
6,872.9484,2025-07-12 22:07:29.140172+00:00
6,871.1124,2025-07-12 22:07:36.447296+00:00
6,869.6449,2025-07-12 22:07:43.764901+00:00
6,869.1139,2025-07-12 22:07:51.064976+00:00
6,870.9234,2025-07-12 22:07:58.372564+00:00
6,890.9802,2025-07-12 22:08:05.677444+00:00
6,893.1573,2025-07-12 22:08:13.078472+00:00
6,895.8369,2025-07-12 22:08:20.389135+00:00
6,896.2059,2025-07-12 22:08:27.690887+00:00
6,898.6557,2025-07-12 22:08:35.000895+00:00
6,897.0258,2025-07-12 22:08:42.312931+00:00
6,897.5617,2025-07-12 22:08:49.623066+00:00
6,895.1046,2025-07-12 22:08:56.918533+00:00
6,894.5402,2025-07-12 22:09:04.224400+00:00
6,895.0751,2025-07-12 22:09:11.633759+00:00
6,892.8724,2025-07-12 22:09:18.937574+00:00
6,893.8561,2025-07-12 22:09:26.245847+00:00
6,897.326,2025-07-12 22:09:33.546586+00:00
6,897.4736,2025-07-12 22:09:40.858284+00:00
6,802.4471,2025-07-12 22:09:48.171127+00:00
6,799.084,2025-07-12 22:09:55.472924+00:00
6,794.472,2025-07-12 22:10:02.786898+00:00
6,760.1671,2025-07-12 22:10:10.090784+00:00
6,718.2006,2025-07-12 22:10:17.406958+00:00
6,716.1953,2025-07-12 22:10:24.721023+00:00
6,716.5058,2025-07-12 22:10:32.022471+00:00
6,703.8783,2025-07-12 22:10:39.336896+00:00
6,663.5225,2025-07-12 22:10:46.643294+00:00
6,655.008,2025-07-12 22:10:53.953458+00:00
6,452.3333,2025-07-12 22:11:01.264541+00:00
